model,k_pct,recall,ndcg,n_users
ALS,0,0.025491943222306777,0.01170658960543929,9959
ALS,5,0.02526790001737014,0.011551313839572275,9959
ALS,10,0.022783824164716603,0.010408002398806395,9958
ALS,20,0.012083808656562781,0.006097761124969707,9939
ALS,30,0.01098344838148316,0.005427671750488575,9936
ALS,50,0.010013601196838633,0.004469489856908557,9891
ALS,75,0.008311798465343394,0.0030945913845480785,9704
ALS,90,0.00807346014376781,0.002391513998177712,8842
Semantic,0,0.025491943222306777,0.01170658960543929,9959
Semantic,5,0.025144161120009795,0.011666517054871654,9959
Semantic,10,0.02405863379328111,0.011514795471275489,9958
Semantic,20,0.022109984757793286,0.012575384645682282,9939
Semantic,30,0.024002007825306593,0.01280469666064668,9936
Semantic,50,0.028625568048447646,0.012470689112767852,9891
Semantic,75,0.030849889194711988,0.010859748644383287,9704
Semantic,90,0.033730248489352764,0.009440480591845846,8842
DropoutNet,0,0.025491943222306777,0.01170658960543929,9959
DropoutNet,5,0.02612378340506665,0.012210961938343878,9959
DropoutNet,10,0.02706189948798172,0.012840944465982837,9958
DropoutNet,20,0.026251302527239603,0.013450717658535167,9939
DropoutNet,30,0.028873323951300954,0.014231974841912904,9936
DropoutNet,50,0.036815664429471456,0.01534135696889871,9891
DropoutNet,75,0.041098886652629195,0.013960230204862716,9704
DropoutNet,90,0.041017914830400695,0.011338644101102626,8842
